domain,db_name,db_host,nid,platform_path
polygonaceae.myspecies.info,polygonaceaemy_0,157.140.2.164,1960.0,/var/aegir/platforms/scratchpads-2.10.1
taxoncuration.myspecies.info,taxoncurationm_0,157.140.2.171,3249.0,/var/aegir/platforms/scratchpads-2.10.1
opisthostoma.myspecies.info,opisthostomamy_0,157.140.2.164,1720.0,/var/aegir/platforms/scratchpads-2.10.1
flatwormssmokys.myspecies.info,flatwormssmokysm,157.140.2.164,2733.0,/var/aegir/platforms/scratchpads-2.10.1
batrach.myspecies.info,batrachmyspecies,157.140.2.153,1115.0,/var/aegir/platforms/scratchpads-2.10.1
quercus.myspecies.info,quercusmyspeci_0,157.140.2.153,2657.0,/var/aegir/platforms/scratchpads-2.10.1
filichens.myspecies.info,filichensmyspeci,157.140.2.153,6297.0,/var/aegir/platforms/scratchpads-2.10.1
pterioidea.myspecies.info,pterioideamyspec,157.140.2.171,4014.0,/var/aegir/platforms/scratchpads-2.10.1
neasianflora.myspecies.info,neasianfloramysp,157.140.2.164,4647.0,/var/aegir/platforms/scratchpads-2.10.1
gramineaeuy.myspecies.info,gramineaeuymyspe,157.140.2.164,13047.0,/var/aegir/platforms/scratchpads-2.10.1
dzanga-sangha.myspecies.info,dzangasanghamysp,157.140.2.171,1592.0,/var/aegir/platforms/scratchpads-2.10.1
lichenvietnam.myspecies.info,lichenvietnammys,157.140.2.164,1167.0,/var/aegir/platforms/scratchpads-2.10.1
rbzs.myspecies.info,rbzsmyspeciesi_1,157.140.2.164,1131.0,/var/aegir/platforms/scratchpads-2.10.1
limulidae.myspecies.info,limulidaemyspeci,157.140.2.153,1564.0,/var/aegir/platforms/scratchpads-2.10.1
paussinae.myspecies.info,paussinaemyspe_0,157.140.2.153,2359.0,/var/aegir/platforms/scratchpads-2.10.1
african-fungi.myspecies.info,africanfungimy_0,157.140.2.153,3453.0,/var/aegir/platforms/scratchpads-2.10.1
inverts.info,invertsinfo,157.140.2.171,1932.0,/var/aegir/platforms/scratchpads-2.10.1
sphingidae.myspecies.info,sphingidaemysp_1,157.140.2.171,3825.0,/var/aegir/platforms/scratchpads-2.10.1
malaysiabutterflies.myspecies.info,malaysiabutter_0,157.140.2.153,1139.0,/var/aegir/platforms/scratchpads-2.10.1
eragrostideae.myspecies.info,eragrostideaemys,157.140.2.171,3301.0,/var/aegir/platforms/scratchpads-2.10.1
sihktiivalised.myspecies.info,sihktiivalised_0,157.140.2.153,2279.0,/var/aegir/platforms/scratchpads-2.10.1
challengerostracoda.myspecies.info,challengerostrac,157.140.2.153,3373.0,/var/aegir/platforms/scratchpads-2.10.1
korupplants.myspecies.info,korupplantsmyspe,157.140.2.153,3309.0,/var/aegir/platforms/scratchpads-2.10.1
petype.myspecies.info,petypemyspecie_0,157.140.2.171,4158.0,/var/aegir/platforms/scratchpads-2.10.1
ihs.myspecies.info,ihsmyspeciesinfo,157.140.2.164,1038.0,/var/aegir/platforms/scratchpads-2.10.1
lepidoptera.miza-ucv.org.ve,lepidopteramizau,157.140.2.164,4442.0,/var/aegir/platforms/scratchpads-2.10.1
oraphansungkajanttranon.myspecies.info,oraphansungkaj_0,157.140.2.153,2063.0,/var/aegir/platforms/scratchpads-2.10.1
taiwanseagrasses.myspecies.info,taiwanseagrass_0,157.140.2.153,3597.0,/var/aegir/platforms/scratchpads-2.10.1
lycaena.myspecies.info,lycaenamyspecies,157.140.2.171,3041.0,/var/aegir/platforms/scratchpads-2.10.1
ablepharuslit.myspecies.info,ablepharuslitm_0,157.140.2.164,3673.0,/var/aegir/platforms/scratchpads-2.9.16
africanamphibians.myspecies.info,africanamphibi_0,157.140.2.164,2833.0,/var/aegir/platforms/scratchpads-2.10.1
jemu.myspecies.info,jemumyspeciesi_1,157.140.2.153,1332.0,/var/aegir/platforms/scratchpads-2.10.1
woranart.myspecies.info,woranartmyspec_0,157.140.2.171,1436.0,/var/aegir/platforms/scratchpads-2.10.1
vc55myxomycetes.myspecies.info,vc55myxomycete_0,157.140.2.171,27023.0,/var/aegir/platforms/scratchpads-2.10.1
lmugent.myspecies.info,lmugentmyspecies,157.140.2.171,2435.0,/var/aegir/platforms/scratchpads-2.10.1
xyleborini.myspecies.info,xyleborinimysp_0,157.140.2.153,2621.0,/var/aegir/platforms/scratchpads-2.10.1
cicadellidae.myspecies.info,cicadellidaemysp,157.140.2.164,2043.0,/var/aegir/platforms/scratchpads-2.10.1
aristotlesplants.myspecies.info,aristotlesplan_0,157.140.2.153,9511.0,/var/aegir/platforms/scratchpads-2.10.1
aww.myspecies.info,awwmyspeciesinfo,157.140.2.153,2211.0,/var/aegir/platforms/scratchpads-2.10.1
phlebotominaenhmtypes.myspecies.info,phlebotominaen_0,157.140.2.164,4935.0,/var/aegir/platforms/scratchpads-2.10.1
indianladybirds.myspecies.info,indianladybirdsm,157.140.2.164,1600.0,/var/aegir/platforms/scratchpads-2.10.1
sealice.myspecies.info,sealicemyspeci_0,157.140.2.153,2391.0,/var/aegir/platforms/scratchpads-2.10.1
onobrysisviciifolia.myspecies.info,onobrysisvicii_0,157.140.2.153,2179.0,/var/aegir/platforms/scratchpads-2.10.1
icpc-congo.myspecies.info,icpccongomyspeci,157.140.2.153,4006.0,/var/aegir/platforms/scratchpads-2.10.1
commelinaceae.e-monocot.org,commelinaceaeemo,157.140.2.164,1744.0,/var/aegir/platforms/scratchpads-2.10.1
myrtaceae-chile.myspecies.info,myrtaceaechilemy,157.140.2.171,1280.0,/var/aegir/platforms/scratchpads-2.10.1
icelichen.myspecies.info,icelichenmyspeci,157.140.2.164,2095.0,/var/aegir/platforms/scratchpads-2.10.1
arthropoda.myspecies.info,arthropodamyspec,157.140.2.171,3269.0,/var/aegir/platforms/scratchpads-2.10.1
biodiversityunitcmru.myspecies.info,biodiversityunit,157.140.2.153,1616.0,/var/aegir/platforms/scratchpads-2.10.1
cenozoicforaminifera.com,cenozoicforamini,157.140.2.171,2613.0,/var/aegir/platforms/scratchpads-2.10.1
parmotrema.myspecies.info,parmotremamysp_0,157.140.2.153,3345.0,/var/aegir/platforms/scratchpads-2.10.1
aenictinaeurope.myspecies.info,aenictinaeurop_0,157.140.2.171,1328.0,/var/aegir/platforms/scratchpads-2.10.1
pleistocenekokemushi.myspecies.info,pleistocenekok_0,157.140.2.171,3861.0,/var/aegir/platforms/scratchpads-2.10.1
panamamolluscs.myspecies.info,panamamolluscsmy,157.140.2.164,4695.0,/var/aegir/platforms/scratchpads-2.10.1
florapicosdeeuropa.myspecies.info,florapicosdeeuro,157.140.2.164,2439.0,/var/aegir/platforms/scratchpads-2.10.1
bg-cicadidae.myspecies.info,bgcicadidaemyspe,157.140.2.164,1588.0,/var/aegir/platforms/scratchpads-2.10.1
mhp.myspecies.info,mhpmyspeciesin_1,157.140.2.164,3421.0,/var/aegir/platforms/scratchpads-2.10.1
britishpsyllids.myspecies.info,britishpsyllidsm,157.140.2.153,3849.0,/var/aegir/platforms/scratchpads-2.10.1
unified.myspecies.info,unifiedmyspeci_0,157.140.2.171,3997.0,/var/aegir/platforms/scratchpads-2.10.1
sulawesiferns.myspecies.info,sulawesifernsm_0,157.140.2.164,1876.0,/var/aegir/platforms/scratchpads-2.10.1
palms.myspecies.info,palmsmyspeciesin,157.140.2.153,1308.0,/var/aegir/platforms/scratchpads-2.10.1
stilbonematinae.myspecies.info,stilbonematina_0,157.140.2.171,4170.0,/var/aegir/platforms/scratchpads-2.10.1
lepidopteraofgibraltar.myspecies.info,lepidopteraofg_0,157.140.2.164,9516.0,/var/aegir/platforms/scratchpads-2.10.1
cicadidae.myspecies.info,cicadidaemyspeci,157.140.2.164,1384.0,/var/aegir/platforms/scratchpads-2.10.1
